time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,city,latitude,longitude
2020-01-01,19.7,25.9,13.8,0.0,13.0,Bhubaneswar,20.2961,85.8245
2020-01-02,21.1,26.5,17.0,0.4,15.1,Bhubaneswar,20.2961,85.8245
2020-01-03,19.9,22.8,17.9,17.5,15.7,Bhubaneswar,20.2961,85.8245
2020-01-04,19.3,23.1,16.5,13.0,11.5,Bhubaneswar,20.2961,85.8245
2020-01-05,19.7,25.6,15.6,0.2,12.8,Bhubaneswar,20.2961,85.8245
2020-01-06,18.6,24.1,15.1,0.0,12.0,Bhubaneswar,20.2961,85.8245
2020-01-07,18.2,24.8,13.3,0.0,10.9,Bhubaneswar,20.2961,85.8245
2020-01-08,19.5,26.4,13.3,0.0,10.5,Bhubaneswar,20.2961,85.8245
2020-01-09,21.3,27.1,15.8,0.7,10.5,Bhubaneswar,20.2961,85.8245
2020-01-10,20.5,24.3,16.4,1.1,14.3,Bhubaneswar,20.2961,85.8245
2020-01-11,18.2,23.7,15.0,0.0,14.6,Bhubaneswar,20.2961,85.8245
2020-01-12,17.9,23.6,12.9,0.0,11.0,Bhubaneswar,20.2961,85.8245
2020-01-13,18.1,25.5,12.1,0.0,10.5,Bhubaneswar,20.2961,85.8245
2020-01-14,19.0,26.9,12.6,0.0,9.7,Bhubaneswar,20.2961,85.8245
2020-01-15,20.4,27.2,15.9,0.0,9.9,Bhubaneswar,20.2961,85.8245
2020-01-16,20.8,27.8,16.7,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-01-17,21.2,28.0,17.2,0.0,11.2,Bhubaneswar,20.2961,85.8245
2020-01-18,21.5,27.9,16.6,0.0,9.1,Bhubaneswar,20.2961,85.8245
2020-01-19,21.9,29.2,16.8,0.0,10.0,Bhubaneswar,20.2961,85.8245
2020-01-20,21.7,26.3,18.3,0.0,14.5,Bhubaneswar,20.2961,85.8245
2020-01-21,21.3,26.9,17.3,0.3,14.1,Bhubaneswar,20.2961,85.8245
2020-01-22,21.8,28.8,16.7,0.0,10.3,Bhubaneswar,20.2961,85.8245
2020-01-23,23.1,30.3,17.4,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-01-24,22.7,29.4,17.7,0.0,16.6,Bhubaneswar,20.2961,85.8245
2020-01-25,20.9,27.6,15.8,0.0,13.5,Bhubaneswar,20.2961,85.8245
2020-01-26,22.0,28.9,16.4,0.0,9.7,Bhubaneswar,20.2961,85.8245
2020-01-27,20.7,27.7,15.1,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-01-28,22.7,29.5,16.4,0.3,23.1,Bhubaneswar,20.2961,85.8245
2020-01-29,25.4,31.5,21.5,2.0,20.6,Bhubaneswar,20.2961,85.8245
2020-01-30,24.3,29.9,20.7,5.1,12.3,Bhubaneswar,20.2961,85.8245
2020-01-31,22.3,27.4,18.1,0.0,15.1,Bhubaneswar,20.2961,85.8245
2020-02-01,21.7,28.1,16.9,0.3,16.1,Bhubaneswar,20.2961,85.8245
2020-02-02,21.7,26.5,18.1,1.7,13.2,Bhubaneswar,20.2961,85.8245
2020-02-03,21.3,27.3,17.7,0.0,17.1,Bhubaneswar,20.2961,85.8245
2020-02-04,21.7,27.6,16.7,0.0,13.8,Bhubaneswar,20.2961,85.8245
2020-02-05,20.3,24.8,17.6,13.3,14.8,Bhubaneswar,20.2961,85.8245
2020-02-06,22.2,27.9,17.3,0.7,15.0,Bhubaneswar,20.2961,85.8245
2020-02-07,20.2,22.9,16.7,14.9,16.8,Bhubaneswar,20.2961,85.8245
2020-02-08,18.3,21.1,16.5,2.3,17.6,Bhubaneswar,20.2961,85.8245
2020-02-09,18.8,22.6,16.0,0.0,10.9,Bhubaneswar,20.2961,85.8245
2020-02-10,20.0,25.8,15.5,0.0,10.5,Bhubaneswar,20.2961,85.8245
2020-02-11,19.5,26.4,13.5,0.0,10.4,Bhubaneswar,20.2961,85.8245
2020-02-12,19.9,27.0,14.2,0.0,11.3,Bhubaneswar,20.2961,85.8245
2020-02-13,21.2,29.6,14.3,0.0,12.0,Bhubaneswar,20.2961,85.8245
2020-02-14,22.8,32.4,15.6,0.0,15.4,Bhubaneswar,20.2961,85.8245
2020-02-15,23.3,31.7,16.3,0.0,10.2,Bhubaneswar,20.2961,85.8245
2020-02-16,23.3,30.4,17.5,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-02-17,24.2,30.9,19.8,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-02-18,23.3,30.3,18.0,0.0,13.4,Bhubaneswar,20.2961,85.8245
2020-02-19,23.7,30.7,17.2,0.1,19.5,Bhubaneswar,20.2961,85.8245
2020-02-20,24.3,31.1,19.6,0.0,19.7,Bhubaneswar,20.2961,85.8245
2020-02-21,23.4,30.6,18.4,0.0,16.4,Bhubaneswar,20.2961,85.8245
2020-02-22,23.2,30.6,16.9,0.0,13.3,Bhubaneswar,20.2961,85.8245
2020-02-23,23.7,31.4,17.5,0.0,18.5,Bhubaneswar,20.2961,85.8245
2020-02-24,23.1,29.3,18.5,0.0,12.1,Bhubaneswar,20.2961,85.8245
2020-02-25,20.7,23.2,19.1,27.7,15.9,Bhubaneswar,20.2961,85.8245
2020-02-26,21.9,27.1,18.6,3.4,8.8,Bhubaneswar,20.2961,85.8245
2020-02-27,21.8,28.1,17.5,0.0,8.7,Bhubaneswar,20.2961,85.8245
2020-02-28,21.8,27.3,16.3,0.1,11.0,Bhubaneswar,20.2961,85.8245
2020-02-29,22.5,28.4,17.3,0.0,10.1,Bhubaneswar,20.2961,85.8245
2020-03-01,23.7,29.8,18.8,0.0,13.2,Bhubaneswar,20.2961,85.8245
2020-03-02,24.4,30.2,19.4,0.0,14.4,Bhubaneswar,20.2961,85.8245
2020-03-03,25.0,31.5,20.2,0.0,15.6,Bhubaneswar,20.2961,85.8245
2020-03-04,24.9,30.3,21.4,0.4,18.0,Bhubaneswar,20.2961,85.8245
2020-03-05,25.0,29.8,21.6,0.9,18.0,Bhubaneswar,20.2961,85.8245
2020-03-06,23.9,27.6,22.2,7.0,14.2,Bhubaneswar,20.2961,85.8245
2020-03-07,25.5,30.2,21.6,3.0,16.0,Bhubaneswar,20.2961,85.8245
2020-03-08,25.9,30.4,23.0,1.8,14.3,Bhubaneswar,20.2961,85.8245
2020-03-09,25.6,31.5,20.8,0.0,13.4,Bhubaneswar,20.2961,85.8245
2020-03-10,26.1,32.0,22.2,0.8,13.6,Bhubaneswar,20.2961,85.8245
2020-03-11,27.0,32.3,23.3,0.0,18.6,Bhubaneswar,20.2961,85.8245
2020-03-12,27.6,33.0,23.5,0.7,17.9,Bhubaneswar,20.2961,85.8245
2020-03-13,27.3,33.9,22.5,0.0,15.5,Bhubaneswar,20.2961,85.8245
2020-03-14,27.2,34.1,22.0,0.0,15.5,Bhubaneswar,20.2961,85.8245
2020-03-15,26.2,32.7,20.8,0.0,12.9,Bhubaneswar,20.2961,85.8245
2020-03-16,27.7,34.2,22.6,0.0,14.2,Bhubaneswar,20.2961,85.8245
2020-03-17,28.0,34.7,23.5,0.1,16.6,Bhubaneswar,20.2961,85.8245
2020-03-18,28.2,35.4,22.4,0.0,14.7,Bhubaneswar,20.2961,85.8245
2020-03-19,26.9,31.8,21.8,6.0,23.7,Bhubaneswar,20.2961,85.8245
2020-03-20,26.4,34.2,20.4,0.0,14.9,Bhubaneswar,20.2961,85.8245
2020-03-21,26.0,31.7,21.4,3.4,15.2,Bhubaneswar,20.2961,85.8245
2020-03-22,25.4,30.5,22.8,3.4,13.6,Bhubaneswar,20.2961,85.8245
2020-03-23,26.2,31.4,22.3,2.2,16.1,Bhubaneswar,20.2961,85.8245
2020-03-24,27.3,33.8,22.7,0.4,13.7,Bhubaneswar,20.2961,85.8245
2020-03-25,27.9,34.3,23.3,0.1,20.5,Bhubaneswar,20.2961,85.8245
2020-03-26,28.9,36.3,22.1,0.0,13.0,Bhubaneswar,20.2961,85.8245
2020-03-27,29.1,36.2,22.6,0.0,17.7,Bhubaneswar,20.2961,85.8245
2020-03-28,30.2,37.4,23.5,0.0,14.1,Bhubaneswar,20.2961,85.8245
2020-03-29,30.8,38.1,25.4,0.5,14.1,Bhubaneswar,20.2961,85.8245
2020-03-30,30.2,36.8,25.9,0.3,13.9,Bhubaneswar,20.2961,85.8245
2020-03-31,29.5,36.7,24.2,0.0,16.2,Bhubaneswar,20.2961,85.8245
2020-04-01,30.5,38.4,24.4,0.1,17.1,Bhubaneswar,20.2961,85.8245
2020-04-02,30.4,37.9,24.9,0.0,23.2,Bhubaneswar,20.2961,85.8245
2020-04-03,30.5,37.8,25.2,0.0,18.6,Bhubaneswar,20.2961,85.8245
2020-04-04,30.1,36.4,25.8,0.2,15.1,Bhubaneswar,20.2961,85.8245
2020-04-05,29.5,34.6,25.8,0.8,13.2,Bhubaneswar,20.2961,85.8245
2020-04-06,30.0,37.4,24.7,0.0,17.4,Bhubaneswar,20.2961,85.8245
2020-04-07,29.8,37.6,25.3,0.0,19.4,Bhubaneswar,20.2961,85.8245
2020-04-08,29.7,35.4,24.3,0.5,16.1,Bhubaneswar,20.2961,85.8245
2020-04-09,28.9,35.9,23.1,0.2,17.5,Bhubaneswar,20.2961,85.8245
2020-04-10,29.5,36.3,25.4,0.6,17.3,Bhubaneswar,20.2961,85.8245
2020-04-11,29.7,36.7,25.3,0.0,16.7,Bhubaneswar,20.2961,85.8245
2020-04-12,30.0,37.8,24.6,0.7,18.3,Bhubaneswar,20.2961,85.8245
2020-04-13,30.6,38.6,25.0,0.0,18.7,Bhubaneswar,20.2961,85.8245
2020-04-14,30.2,37.5,25.0,0.3,18.7,Bhubaneswar,20.2961,85.8245
2020-04-15,30.7,37.5,26.2,0.2,20.3,Bhubaneswar,20.2961,85.8245
2020-04-16,30.1,36.9,24.8,1.6,19.2,Bhubaneswar,20.2961,85.8245
2020-04-17,30.2,36.5,26.3,0.0,26.8,Bhubaneswar,20.2961,85.8245
2020-04-18,29.7,35.3,26.4,1.9,24.2,Bhubaneswar,20.2961,85.8245
2020-04-19,29.8,36.1,24.5,0.0,16.6,Bhubaneswar,20.2961,85.8245
2020-04-20,29.8,36.1,25.5,0.0,18.2,Bhubaneswar,20.2961,85.8245
2020-04-21,29.4,35.0,26.0,1.2,16.9,Bhubaneswar,20.2961,85.8245
2020-04-22,28.7,33.6,25.7,1.0,20.4,Bhubaneswar,20.2961,85.8245
2020-04-23,29.3,35.5,26.2,13.2,16.5,Bhubaneswar,20.2961,85.8245
2020-04-24,29.3,34.3,25.9,13.8,29.3,Bhubaneswar,20.2961,85.8245
2020-04-25,27.8,32.3,24.1,17.4,22.9,Bhubaneswar,20.2961,85.8245
