time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,city,latitude,longitude
2020-01-01,10.0,17.7,2.9,0.0,12.0,Delhi,28.6139,77.209
2020-01-02,12.9,19.5,6.8,0.0,12.4,Delhi,28.6139,77.209
2020-01-03,14.0,19.0,8.3,0.1,9.8,Delhi,28.6139,77.209
2020-01-04,13.4,18.9,8.8,0.5,9.7,Delhi,28.6139,77.209
2020-01-05,13.3,19.8,7.9,0.0,12.9,Delhi,28.6139,77.209
2020-01-06,13.5,17.1,10.3,0.0,11.6,Delhi,28.6139,77.209
2020-01-07,14.0,17.8,11.1,2.1,13.0,Delhi,28.6139,77.209
2020-01-08,12.8,15.3,10.3,17.5,14.5,Delhi,28.6139,77.209
2020-01-09,10.5,16.0,7.1,0.0,16.1,Delhi,28.6139,77.209
2020-01-10,10.1,16.6,5.8,0.0,16.1,Delhi,28.6139,77.209
2020-01-11,10.3,16.9,5.5,0.0,11.3,Delhi,28.6139,77.209
2020-01-12,11.8,19.7,6.0,0.0,10.9,Delhi,28.6139,77.209
2020-01-13,14.6,20.6,9.2,16.6,19.3,Delhi,28.6139,77.209
2020-01-14,14.0,18.3,10.5,0.3,11.7,Delhi,28.6139,77.209
2020-01-15,12.4,18.6,7.4,0.0,12.2,Delhi,28.6139,77.209
2020-01-16,12.4,15.8,9.4,11.1,10.0,Delhi,28.6139,77.209
2020-01-17,13.0,17.9,10.2,0.6,11.0,Delhi,28.6139,77.209
2020-01-18,12.5,17.2,8.9,0.2,10.9,Delhi,28.6139,77.209
2020-01-19,11.7,17.6,7.8,0.0,12.7,Delhi,28.6139,77.209
2020-01-20,12.1,17.5,7.2,0.0,12.5,Delhi,28.6139,77.209
2020-01-21,12.9,18.2,9.3,0.0,9.5,Delhi,28.6139,77.209
2020-01-22,12.5,18.8,7.4,0.0,15.1,Delhi,28.6139,77.209
2020-01-23,12.5,17.8,8.5,0.0,23.2,Delhi,28.6139,77.209
2020-01-24,12.8,19.2,8.4,0.0,22.6,Delhi,28.6139,77.209
