time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,city,latitude,longitude
2020-01-01,20.9,25.9,15.6,0.0,13.2,Mumbai,19.076,72.8777
2020-01-02,21.9,26.7,17.7,0.0,16.1,Mumbai,19.076,72.8777
2020-01-03,21.8,26.5,18.5,0.0,23.5,Mumbai,19.076,72.8777
2020-01-04,21.6,25.9,18.3,0.0,21.4,Mumbai,19.076,72.8777
2020-01-05,23.1,29.7,18.4,0.0,16.8,Mumbai,19.076,72.8777
2020-01-06,24.6,30.6,20.7,0.0,17.1,Mumbai,19.076,72.8777
2020-01-07,23.9,28.0,20.3,0.0,18.9,Mumbai,19.076,72.8777
2020-01-08,23.8,27.4,20.9,0.0,17.3,Mumbai,19.076,72.8777
2020-01-09,22.6,27.6,19.2,0.0,23.4,Mumbai,19.076,72.8777
2020-01-10,23.7,30.8,19.0,0.0,19.1,Mumbai,19.076,72.8777
2020-01-11,25.3,32.1,21.1,0.0,15.5,Mumbai,19.076,72.8777
2020-01-12,24.8,30.1,20.4,0.0,17.3,Mumbai,19.076,72.8777
2020-01-13,23.9,27.7,21.7,0.4,17.0,Mumbai,19.076,72.8777
2020-01-14,23.1,26.8,20.8,0.2,21.5,Mumbai,19.076,72.8777
2020-01-15,21.9,25.3,19.3,0.0,22.0,Mumbai,19.076,72.8777
2020-01-16,20.3,24.2,17.2,0.0,21.1,Mumbai,19.076,72.8777
2020-01-17,19.4,24.5,15.9,0.0,24.4,Mumbai,19.076,72.8777
2020-01-18,21.3,27.8,15.3,0.0,17.9,Mumbai,19.076,72.8777
2020-01-19,23.0,29.1,17.9,0.0,16.8,Mumbai,19.076,72.8777
2020-01-20,23.5,30.8,18.4,0.0,16.6,Mumbai,19.076,72.8777
2020-01-21,23.5,29.2,18.9,0.0,16.6,Mumbai,19.076,72.8777
2020-01-22,24.3,30.7,19.0,0.0,18.7,Mumbai,19.076,72.8777
2020-01-23,25.6,31.8,21.7,0.0,22.2,Mumbai,19.076,72.8777
2020-01-24,25.3,31.8,21.1,0.0,19.6,Mumbai,19.076,72.8777
2020-01-25,25.1,30.6,20.4,0.0,20.3,Mumbai,19.076,72.8777
2020-01-26,24.4,30.4,19.6,0.0,15.5,Mumbai,19.076,72.8777
2020-01-27,23.7,28.0,20.3,0.0,15.1,Mumbai,19.076,72.8777
2020-01-28,22.8,26.5,19.9,1.0,18.8,Mumbai,19.076,72.8777
2020-01-29,21.8,24.7,18.4,0.0,21.9,Mumbai,19.076,72.8777
2020-01-30,21.0,27.5,15.9,0.0,21.1,Mumbai,19.076,72.8777
2020-01-31,21.1,26.1,15.9,0.0,20.7,Mumbai,19.076,72.8777
2020-02-01,22.3,28.2,17.7,0.0,22.2,Mumbai,19.076,72.8777
2020-02-02,23.0,29.3,18.4,0.0,15.2,Mumbai,19.076,72.8777
2020-02-03,22.7,27.0,17.9,0.0,14.1,Mumbai,19.076,72.8777
2020-02-04,23.2,28.0,19.6,0.0,19.1,Mumbai,19.076,72.8777
2020-02-05,23.1,29.3,18.4,0.0,20.0,Mumbai,19.076,72.8777
2020-02-06,22.6,27.2,19.0,0.0,18.7,Mumbai,19.076,72.8777
2020-02-07,21.5,26.7,17.5,0.0,22.9,Mumbai,19.076,72.8777
2020-02-08,22.7,29.4,17.2,0.0,25.8,Mumbai,19.076,72.8777
2020-02-09,24.7,30.9,20.8,0.0,27.4,Mumbai,19.076,72.8777
2020-02-10,25.8,31.8,21.9,0.0,19.6,Mumbai,19.076,72.8777
2020-02-11,26.8,33.2,22.4,0.0,17.3,Mumbai,19.076,72.8777
2020-02-12,27.9,34.6,23.1,0.0,17.1,Mumbai,19.076,72.8777
2020-02-13,27.9,34.1,23.6,0.0,23.1,Mumbai,19.076,72.8777
2020-02-14,27.7,33.1,23.7,0.0,22.2,Mumbai,19.076,72.8777
2020-02-15,25.6,31.1,21.9,0.0,22.3,Mumbai,19.076,72.8777
2020-02-16,25.1,31.4,20.8,0.0,17.9,Mumbai,19.076,72.8777
2020-02-17,26.2,33.7,20.6,0.0,16.3,Mumbai,19.076,72.8777
2020-02-18,27.2,34.3,22.0,0.0,19.3,Mumbai,19.076,72.8777
